gizmotronics	gizmotronics+N;SG
gonagra	gonagra+N;SG
vicegerencies	vicegerency+N;PL
periclinal	periclinal+ADJ
meutes	meute+N;PL
relented	relent+V;V.PTCP;PST
prussianize	prussianize+V;NFIN;IMP+SBJV
taring	taring+N;SG
struts	strut+N;PL
overemotional	overemotional+ADJ
endocytoscopy	endocytoscopy+N;SG
acheilia	acheilia+N;SG
panir	panir+N;SG
nouts	nout+N;PL
scolecomorphids	scolecomorphid+N;PL
gilse	gilse+N;SG
simoleon	simoleon+N;SG
familicidal	familicidal+ADJ
fostering	fostering+N;SG
toughs	tough+V;PRS;3;SG
schuits	schuit+N;PL
proportionator	proportionator+N;SG
gd	gd+ADJ
carnivorous	carnivorous+ADJ
weathermost	weathermost+ADJ
fit as a mallee bull	fit as a mallee bull+ADJ
immunodiagnosis	immunodiagnosis+N;SG
nominalness	nominalness+N;SG
manhauled	manhaul+V;V.PTCP;PST
wenches	wench+N;PL
hexaborides	hexaboride+N;PL
doped	dope+V;V.PTCP;PST
phosphinyls	phosphinyl+N;PL
ratified	ratify+V;V.PTCP;PST
enclined	enclined+ADJ
endoglycanases	endoglycanase+N;PL
candlesticked	candlestick+V;PST
supersolar	supersolar+ADJ
discographer	discographer+N;SG
unbannered	unbannered+ADJ
outcount	outcount+V;NFIN;IMP+SBJV
mooed	moo+V;V.PTCP;PST
caimanines	caimanine+N;PL
physicalised	physicalise+V;PST
snell	snell+V;NFIN;IMP+SBJV
icb	icb+N;SG
goidelic	goidelic+ADJ
thalassophonean	thalassophonean+ADJ
frameworks	framework+N;PL
bumpkin	bumpkin+N;SG
postgenderists	postgenderist+N;PL
pill	pill+N;SG
betrothen	betrothen+ADJ
specularites	specularite+N;PL
horsesat	horsesit+V;V.PTCP;PST
flexibilisation	flexibilisation+N;SG
squizzes	squiz+N;PL
mispled	misplead+V;PST
acromegalia	acromegalia+N;SG
sematropes	sematrope+N;PL
vinificators	vinificator+N;PL
furuncle	furuncle+N;SG
gennets	gennet+N;PL
keratophyre	keratophyre+N;SG
barnful	barnful+N;SG
laylocks	laylock+N;PL
countable	mire+N;PL
fluvisols	fluvisol+N;PL
charters	charter+V;PRS;3;SG
illiteral	illiteral+ADJ
thoral	thoral+ADJ
chaoosh	chaoosh+N;SG
katzian	katzian+ADJ
endosmometers	endosmometer+N;PL
refundables	refundable+N;PL
neigh	neigh+V;NFIN;IMP+SBJV
pastry	pastry+N;SG
disconnected	disconnected+ADJ
sacrilegious	sacrilegious+ADJ
nonwoodiness	nonwoodiness+N;SG
metallochromic	metallochromic+ADJ
deekied	deeky+V;PST
cardiogenic	cardiogenic+ADJ
ecohydrologic	ecohydrologic+ADJ
immigration	immigration+N;SG
noncompetency	noncompetency+N;SG
stonehearted	stonehearted+ADJ
sanctuarizing	sanctuarize+V;V.PTCP;PRS
emprosthotonus	emprosthotonus+N;SG
likable	likable+ADJ
marcescence	marcescence+N;SG
octlets	octlet+N;PL
fanning	fanning+N;SG
scans	scan+N;PL
rasant	rasant+ADJ
germanatian	germanatian+ADJ
bagassosis	bagassosis+N;SG
draftmanship	draftmanship+N;SG
adipotaxis	adipotaxis+N;SG
macroamylase	macroamylase+N;SG
hydroxypiperidine	hydroxypiperidine+N;SG
curglaff	curglaff+N;SG
breasty	breasty+ADJ
epidermidal	epidermidal+ADJ
voltairian	voltairian+N;SG
stampers	stamper+N;PL
unknowingness	unknowingness+N;SG
paleozoology	paleozoology+N;SG
aggerose	aggerose+ADJ
enthusiasm	enthusiasm+N;SG
pleaders	pleader+N;PL
sorrowless	sorrowless+ADJ
respecced	respec+V;PST
cheektooth	cheektooth+N;SG
gonks	gonk+V;PRS;3;SG
agroprocessing	agroprocessing+N;SG
vernacle	vernacle+N;SG
vicaresses	vicaress+N;PL
antialigning	antialigning+N;SG
slapstick	slapstick+N;SG
kakawin	kakawin+N;SG
outplotted	outplot+V;V.PTCP;PST
proctolin	proctolin+N;SG
harrassed	harrass+V;V.PTCP;PST
unpivot	unpivot+V;NFIN;IMP+SBJV
mutt	mutt+N;SG
aves	ave+N;PL
steady	steady+V;NFIN;IMP+SBJV
haulier	haulier+N;SG
diflufenican	diflufenican+N;SG
ideation	ideation+N;SG
airless	airless+ADJ
chlorosugars	chlorosugar+N;PL
trogulids	trogulid+N;PL
mantuamakers	mantuamaker+N;PL
microscopizes	microscopize+V;PRS;3;SG
intraethnic	intraethnic+ADJ
gipsey	gipsey+V;NFIN;IMP+SBJV
foamer	foamer+N;SG
glucase	glucase+N;SG
fluoride	fluoride+N;SG
closed	close+V;PST
prov.	prov.+N;SG
methacrylamide	methacrylamide+N;SG
apostatize	apostatize+V;NFIN;IMP+SBJV
normativized	normativize+V;PST
satisfyingness	satisfyingness+N;SG
fluoroethane	fluoroethane+N;SG
glaebules	glaebule+N;PL
wafture	wafture+N;SG
e-mailer	e-mailer+N;SG
fridamania	fridamania+N;SG
cyberslacker	cyberslacker+N;SG
fearfull	fearfull+ADJ
supplements	supplement+N;PL
decolorized	decolorize+V;PST
uroxanic	uroxanic+ADJ
aliturgic	aliturgic+ADJ
apple-box	apple-box+N;SG
pot-house	pot-house+N;SG
prenylchalcone	prenylchalcone+N;SG
insubordination	insubordination+N;SG
taraweeh	taraweeh+N;SG
reames	reame+N;PL
pigsny	pigsny+N;SG
enteropathogenic	enteropathogenic+ADJ
sunquats	sunquat+N;PL
dipsomaniacal	dipsomaniacal+ADJ
skeletonised	skeletonise+V;V.PTCP;PST
indrawn	indrawn+ADJ
stilboestrol	stilboestrol+N;SG
gnemonol	gnemonol+N;SG
rebluing	reblue+V;V.PTCP;PRS
siccing	sic+V;V.PTCP;PRS
demean	demean+V;NFIN;IMP+SBJV
laired	lair+V;PST
maked	mak+V;V.PTCP;PST
macintoshes	macintosh+N;PL
trifluoromethylbenzoates	trifluoromethylbenzoate+N;PL
coexposed	coexpose+V;V.PTCP;PST
phosphazene	phosphazene+N;SG
braai	braai+N;SG
misaim	misaim+V;NFIN;IMP+SBJV
munis	muni+N;PL
googles	google+N;PL
wildfowlers	wildfowler+N;PL
neo-populism	neo-populism+N;SG
florimania	florimania+N;SG
feeders	feeder+N;PL
tenpences	tenpence+N;PL
photophysicists	photophysicist+N;PL
carau	carau+N;SG
maligned	maligned+ADJ
bolon	bolon+N;SG
paleolongitudinal	paleolongitudinal+ADJ
foreguides	foreguide+V;PRS;3;SG
betiatide	betiatide+N;SG
factionalizers	factionalizer+N;PL
fabriclike	fabriclike+ADJ
gullet	gullet+N;SG
nonbuoyant	nonbuoyant+ADJ
orderliness	orderliness+N;SG
intraperoxisomal	intraperoxisomal+ADJ
imprompt	imprompt+ADJ
sacrificant	sacrificant+N;SG
togetherized	togetherize+V;PST
alfin	alfin+N;SG
metasedimentaries	metasedimentary+N;PL
bratticing	bratticing+N;SG
aridic	aridic+ADJ
joust	joust+N;SG
lacerate	lacerate+V;NFIN;IMP+SBJV
motionless	motionless+ADJ
microcephalic	microcephalic+N;SG
metagene	metagene+N;SG
savilian	savilian+ADJ
saferoom	saferoom+N;SG
maloperations	maloperation+N;PL
urethrocutaneous	urethrocutaneous+ADJ
abseiling	abseiling+N;SG
inlanders	inlander+N;PL
dioxirane	dioxirane+N;SG
claiks	claik+N;PL
guesstimate	guesstimate+V;NFIN;IMP+SBJV
microstressors	microstressor+N;PL
double-stranded	double-stranded+ADJ
microarrangement	microarrangement+N;SG
brocked	brock+V;V.PTCP;PST
encashed	encash+V;V.PTCP;PST
catoxtromancy	catoxtromancy+N;SG
nonchipped	nonchipped+ADJ
triphosphates	triphosphate+N;PL
schillerized	schillerize+V;PST
goblinized	goblinize+V;PST
ensieging	ensiege+V;V.PTCP;PRS
lapidary	lapidary+ADJ
rewalk	rewalk+V;NFIN;IMP+SBJV
exarate	exarate+V;NFIN;IMP+SBJV
logitians	logitian+N;PL
reputableness	reputableness+N;SG
postcochlear	postcochlear+ADJ
off the hizzle	off the hizzle+ADJ
hory	hory+ADJ
nonverbal	nonverbal+N;SG
undervalue	undervalue+V;NFIN;IMP+SBJV
rodsman	rodsman+N;SG
kobyz	kobyz+N;SG
microrotation	microrotation+N;SG
afimbriate	afimbriate+ADJ
mavourneens	mavourneen+N;PL
pigmeat	pigmeat+N;SG
sameliness	sameliness+N;SG
creates	create+V;PRS;3;SG
mere	mere+ADJ
gybes	gybe+V;PRS;3;SG
angiotonin	angiotonin+N;SG
opsters	opster+N;PL
keyed	key+V;V.PTCP;PST
enhypostatised	enhypostatise+V;PST
alembications	alembication+N;PL
minnesotan	minnesotan+N;SG
posterised	posterise+V;PST
quicksorts	quicksort+V;PRS;3;SG
morphallaxis	morphallaxis+N;SG
prostitute	prostitute+ADJ
tesselated	tesselate+V;PST
formalization	formalization+N;SG
exploitability	exploitability+N;SG
commote	commote+V;NFIN;IMP+SBJV
niches	niche+V;PRS;3;SG
unsilent	unsilent+ADJ
007s	7+N;PL
prenuptials	prenuptial+N;PL
fauna	fauna+N;SG
prizens	prizen+N;PL
shwas	shwa+N;PL
septuple	septuple+ADJ
procardiogenic	procardiogenic+ADJ
sporozoitic	sporozoitic+ADJ
unmindfulness	unmindfulness+N;SG
isosurfaces	isosurface+N;PL
tertiates	tertiate+V;PRS;3;SG
red-baiter	red-baiter+N;SG
brainwasher	brainwasher+N;SG
myxoviruses	myxovirus+N;PL
gluing	gluing+N;SG
manicous	manicou+N;PL
enclin'd	enclin'd+ADJ
ladybug	ladybug+N;SG
geekfest	geekfest+N;SG
encipherers	encipherer+N;PL
cycloisomerization	cycloisomerization+N;SG
reannouncement	reannouncement+N;SG
antizymic	antizymic+ADJ
nitrides	nitride+N;PL
gobliness	gobliness+N;SG
herdable	herdable+ADJ
laudianism	laudianism+N;SG
julaceous	julaceous+ADJ
inhaling	inhaling+N;SG
cytoclasis	cytoclasis+N;SG
counited	counite+V;PST
cesiated	cesiated+ADJ
nondroughted	nondroughted+ADJ
bhoys	bhoy+N;PL
mekometer	mekometer+N;SG
beseem	beseem+V;NFIN;IMP+SBJV
inamovable	inamovable+ADJ
asperate	asperate+ADJ
seoulite	seoulite+ADJ
rcp	rcp+N;SG
nondispositive	nondispositive+ADJ
excecation	excecation+N;SG
unmixing	unmix+V;V.PTCP;PRS
a-flat	a-flat+N;SG
pooftahs	pooftah+N;PL
shingleback	shingleback+N;SG
proto-indo-iranian	proto-indo-iranian+N;SG
allogenicity	allogenicity+N;SG
beplaster	beplaster+V;NFIN;IMP+SBJV
conflagration	conflagration+N;SG
otomastoid	otomastoid+ADJ
gonoph	gonoph+N;SG
pyrogenicity	pyrogenicity+N;SG
unwive	unwive+V;NFIN;IMP+SBJV
croceine	croceine+N;SG
tarotist	tarotist+N;SG
unsought	unsought+ADJ
tiple	tiple+N;SG
uniskis	uniski+N;PL
majestifying	majestify+V;V.PTCP;PRS
fleeching	fleech+V;V.PTCP;PRS
soogee-moogee	soogee-moogee+N;SG
acoustoelectronic	acoustoelectronic+ADJ
creational	creational+ADJ
ragequit	ragequit+N;SG
levant	levant+V;NFIN;IMP+SBJV
beardy	beardy+ADJ
azimuthons	azimuthon+N;PL
oversialylated	oversialylated+ADJ
carons	caron+N;PL
viramas	virama+N;PL
trampolined	trampoline+V;V.PTCP;PST
undeplored	undeplored+ADJ
llamahs	llamah+N;PL
unrepresentable	unrepresentable+ADJ
targetability	targetability+N;SG
dowle	dowle+N;SG
gypsiferous	gypsiferous+ADJ
rummaging	rummage+V;V.PTCP;PRS
pumiliotoxin	pumiliotoxin+N;SG
aymed	ayme+V;V.PTCP;PST
synecdochizations	synecdochization+N;PL
zultanite	zultanite+N;SG
unillumed	unillumed+ADJ
sarkier	sarky+ADJ;CMPR
abscissing	absciss+V;V.PTCP;PRS
wolfsangels	wolfsangel+N;PL
ciclosporins	ciclosporin+N;PL
keybuttons	keybutton+N;PL
kotlovina	kotlovina+N;SG
membraniferous	membraniferous+ADJ
minyulite	minyulite+N;SG
decapped	decapped+ADJ
cryopreserving	cryopreserve+V;V.PTCP;PRS
brassfounders	brassfounder+N;PL
kimonolike	kimonolike+ADJ
alveolysins	alveolysin+N;PL
procyonids	procyonid+N;PL
woefulness	woefulness+N;SG
notaphily	notaphily+N;SG
lignols	lignol+N;PL
tatches	tatch+N;PL
startlist	startlist+N;SG
dyspnoeic	dyspnoeic+ADJ
expunged	expunge+V;PST
unsyncopated	unsyncopated+ADJ
semitize	semitize+V;NFIN;IMP+SBJV
hypothalamospinal	hypothalamospinal+ADJ
unconstitutionality	unconstitutionality+N;SG
connexed	connex+V;PST
snotty-nosed	snotty-nosed+ADJ
pine-cone	pine-cone+N;SG
postcricoid	postcricoid+ADJ
periotic	periotic+N;SG
maki-e	maki-e+N;SG
dicarbonic	dicarbonic+ADJ
montane	montane+N;SG
unsubmitted	unsubmit+V;V.PTCP;PST
deepenings	deepening+N;PL
chargerless	chargerless+ADJ
louses	louse+V;PRS;3;SG
sonicate	sonicate+V;NFIN;IMP+SBJV
methoxybiphenyl	methoxybiphenyl+N;SG
counter-trial	counter-trial+N;SG
transliterated	transliterate+V;V.PTCP;PST
foregone	foregone+ADJ
underclocking	underclocking+N;SG
south-eastern	south-eastern+ADJ
cytoglobin	cytoglobin+N;SG
overinflated	overinflated+ADJ
jollity	jollity+N;SG
pentaborates	pentaborate+N;PL
linchpins	linchpin+N;PL
epidural	epidural+N;SG
lunarian	lunarian+N;SG
photosymbiosis	photosymbiosis+N;SG
perchings	perching+N;PL
boatyard	boatyard+N;SG
bionic	bionic+ADJ
nanoemulsifications	nanoemulsification+N;PL
enchaser	enchaser+N;SG
unconnectedness	unconnectedness+N;SG
cystoporates	cystoporate+N;PL
calprotectinemia	calprotectinemia+N;SG
lemmatized	lemmatize+V;V.PTCP;PST
dicarbonyl	dicarbonyl+N;SG
decolourized	decolourized+ADJ
amitochondrial	amitochondrial+ADJ
curvets	curvet+V;PRS;3;SG
psilanthropists	psilanthropist+N;PL
nonuples	nonuple+N;PL
hit-by-pitch	hit-by-pitch+N;SG
ananas	anana+N;PL
wingmanship	wingmanship+N;SG
unobtuse	unobtuse+ADJ
xanthorin	xanthorin+N;SG
vitreomacular	vitreomacular+ADJ
quantifies	quantify+V;PRS;3;SG
robopets	robopet+N;PL
agrologist	agrologist+N;SG
autopolarity	autopolarity+N;SG
mothered	mother+V;V.PTCP;PST
lenticulostriate	lenticulostriate+ADJ
seizins	seizin+N;PL
heterothermic	heterothermic+ADJ
postoptic	postoptic+ADJ
myonecroses	myonecrose+V;PRS;3;SG
rubidic	rubidic+ADJ
jhoomia	jhoomia+N;SG
globemakers	globemaker+N;PL
glorie	glorie+N;SG
vn	vn+N;SG
sparken	sparken+V;NFIN;IMP+SBJV
talook	talook+N;SG
antiscale	antiscale+ADJ
endorotation	endorotation+N;SG
exequatur	exequatur+N;SG
aeroscopic	aeroscopic+ADJ
calorimetre	calorimetre+N;SG
recircularizations	recircularization+N;PL
zomebazam	zomebazam+N;SG
homolignane	homolignane+N;SG
pitstops	pitstop+N;PL
sealife	sealife+N;SG
phosphatidic	phosphatidic+ADJ
pyramidellids	pyramidellid+N;PL
lonesomeness	lonesomeness+N;SG
subsonications	subsonication+N;PL
titubates	titubate+V;PRS;3;SG
unroominess	unroominess+N;SG
diplostemonous	diplostemonous+ADJ
multipocketed	multipocketed+ADJ
stope	stope+N;SG
metacentrics	metacentric+N;PL
discoverer	discoverer+N;SG
banninations	bannination+N;PL
fierté	fierté+N;SG
gettogethers	gettogether+N;PL
multibacillary	multibacillary+ADJ
resleeper	resleeper+V;NFIN;IMP+SBJV
jumaring	jumar+V;V.PTCP;PRS
ectocuneiforms	ectocuneiform+N;PL
metastatin	metastatin+N;SG
phosphomolybdate	phosphomolybdate+N;SG
ankangite	ankangite+N;SG
swanned	swan+V;V.PTCP;PST
flyspecked	flyspecked+ADJ
woldest	wold+ADJ;SPRL
heteroduplexed	heteroduplex+V;V.PTCP;PST
tailwind	tailwind+N;SG
mainlined	mainline+V;V.PTCP;PST
antielitism	antielitism+N;SG
leptohyphids	leptohyphid+N;PL
nincumpoops	nincumpoop+N;PL
trash	trash+N;SG
prostatism	prostatism+N;SG
anglish	anglish+ADJ
acculturative	acculturative+ADJ
evocated	evocate+V;PST
catasterismus	catasterismus+N;SG
forestomach	forestomach+N;SG
thaalis	thaali+N;PL
nabk	nabk+N;SG
bejumbling	bejumble+V;V.PTCP;PRS
trihedron	trihedron+N;SG
syndesmophytes	syndesmophyte+N;PL
sublimit	sublimit+N;SG
pullthroughs	pullthrough+N;PL
violinmaking	violinmaking+N;SG
galabias	galabia+N;PL
velcoming	velcome+V;V.PTCP;PRS
limniot	limniot+ADJ
camerlengos	camerlengo+N;PL
zhnging	zhng+V;V.PTCP;PRS
record-setting	record-setting+ADJ
plumbed	plumb+V;PST
beretta	beretta+N;SG
cevanine	cevanine+N;SG
phytohaemoagglutinins	phytohaemoagglutinin+N;PL
sprunting	sprunt+V;V.PTCP;PRS
absquatulates	absquatulate+V;PRS;3;SG
extramembrane	extramembrane+ADJ
engrossed	engrossed+ADJ
peacefaking	peacefaking+N;SG
eir	eir+N;SG
scurfier	scurfy+ADJ;CMPR
translatives	translative+N;PL
crunchy granola	crunchy granola+ADJ
unblenched	unblenched+ADJ
unparticipated	unparticipated+ADJ
scores	score+N;PL
dreadmills	dreadmill+N;PL
coalball	coalball+N;SG
drunkalogue	drunkalogue+N;SG
deconstructivity	deconstructivity+N;SG
dosshouse	dosshouse+N;SG
turkeylings	turkeyling+N;PL
tartarian	tartarian+N;SG
scribable	scribable+ADJ
recharacterized	recharacterize+V;V.PTCP;PST
unqualifyed	unqualifyed+ADJ
quitclaims	quitclaim+V;PRS;3;SG
for real	for real+ADJ
mathematic	mathematic+ADJ
barodontalgia	barodontalgia+N;SG
aureusimine	aureusimine+N;SG
varied	vary+V;V.PTCP;PST
multiseasonal	multiseasonal+ADJ
contrafacts	contrafact+N;PL
celadon	celadon+ADJ
scheelium	scheelium+N;SG
netts	nett+N;PL
sulks	sulk+V;PRS;3;SG
militarism	militarism+N;SG
bochka	bochka+N;SG
interchoanal	interchoanal+ADJ
overspanned	overspan+V;PST
vandalizing	vandalize+V;V.PTCP;PRS
landsnails	landsnail+N;PL
vfd	vfd+N;SG
cosleeper	cosleeper+N;SG
noodnik	noodnik+N;SG
scangers	scanger+N;PL
snakeproof	snakeproof+ADJ
subancipital	subancipital+ADJ
supercompressed	supercompressed+ADJ
countable	glow+N;PL
headnote	headnote+N;SG
orthotonesis	orthotonesis+N;SG
declenses	declense+V;PRS;3;SG
gluepots	gluepot+N;PL
sugar-mill	sugar-mill+N;SG
wrathfulness	wrathfulness+N;SG
row-back	row-back+N;SG
malappropriated	malappropriate+V;PST
fluorophage	fluorophage+N;SG
alemannic	alemannic+ADJ
hitchhiked	hitchhike+V;PST
ferroelectricity	ferroelectricity+N;SG
armored	armored+ADJ
unempathetic	unempathetic+ADJ
whiting-mop	whiting-mop+N;SG
arrases	arras+N;PL
organmaker	organmaker+N;SG
slightness	slightness+N;SG
tacit	tacit+ADJ
ideologists	ideologist+N;PL
polarite	polarite+N;SG
cardinalists	cardinalist+N;PL
unbeguiled	unbeguiled+ADJ
urtextual	urtextual+ADJ
unamassed	unamassed+ADJ
vinbarbital	vinbarbital+N;SG
stereodynamics	stereodynamics+N;SG
hexadecatrienoic	hexadecatrienoic+ADJ
magnesiotropic	magnesiotropic+ADJ
supersluts	superslut+N;PL
cerealogy	cerealogy+N;SG
rheotaxic	rheotaxic+ADJ
fosse	fosse+N;SG
assfuck	assfuck+V;NFIN;IMP+SBJV
matafundas	matafunda+N;PL
fallen	fallen+N;SG
shreward	shreward+N;SG
yangmeis	yangmei+N;PL
preconceptual	preconceptual+ADJ
underjudged	underjudge+V;V.PTCP;PST
sasquatches	sasquatch+N;PL
saffer	saffer+N;SG
agglutinates	agglutinate+V;PRS;3;SG
nonphosphorylating	nonphosphorylating+ADJ
countable	dope+N;PL
deuteration	deuteration+N;SG
stevioside	stevioside+N;SG
pleuropneumonectomies	pleuropneumonectomy+N;PL
remotivated	remotivate+V;V.PTCP;PST
isomenthol	isomenthol+N;SG
marklessness	marklessness+N;SG
title	title+V;NFIN;IMP+SBJV
kissy	kissy+ADJ
capacitation	capacitation+N;SG
phylactic	phylactic+N;SG
polemician	polemician+N;SG
manganotitanium	manganotitanium+N;SG
goto	goto+N;SG
hotter than a pistol	hotter than a pistol+ADJ
losing	lose+V;V.PTCP;PRS
omophagist	omophagist+N;SG
cistern	cistern+N;SG
alkylideneaminoxyl	alkylideneaminoxyl+N;SG
salivette	salivette+N;SG
chivalrous	chivalrous+ADJ
quizzicalness	quizzicalness+N;SG
storyscapes	storyscape+N;PL
lexiconic	lexiconic+ADJ
spiteless	spiteless+ADJ
immigrated	immigrate+V;PST
multimiked	multimike+V;PST
caesars	caesar+N;PL
ferronickel	ferronickel+N;SG
hypotonizes	hypotonize+V;PRS;3;SG
adiactinic	adiactinic+ADJ
flarepaths	flarepath+N;PL
furred	furred+ADJ
chromatized	chromatize+V;PST
attired	attire+V;PST
seamed	seamed+ADJ
cycloheptatriene	cycloheptatriene+N;SG
hyperaggressive	hyperaggressive+ADJ
vanna	vanna+N;SG
iodoethane	iodoethane+N;SG
nonrecessionary	nonrecessionary+ADJ
longipinene	longipinene+N;SG
sudangrasses	sudangrass+N;PL
bra	bra+N;SG
uncalculable	uncalculable+ADJ
nonlytic	nonlytic+ADJ
supraglenoidal	supraglenoidal+ADJ
photocyclization	photocyclization+N;SG
proterosuchids	proterosuchid+N;PL
nickered	nicker+V;PST
checkmarked	checkmark+V;V.PTCP;PST
bradylogia	bradylogia+N;SG
harang	harang+N;SG
origination	origination+N;SG
chechnian	chechnian+ADJ
titularity	titularity+N;SG
sparklepire	sparklepire+N;SG
righthanded	righthanded+ADJ
resinic	resinic+ADJ
peculates	peculate+V;PRS;3;SG
autozygous	autozygous+ADJ
requisites	requisite+N;PL
frontstage	frontstage+N;SG
nonphotochromic	nonphotochromic+ADJ
fucksores	fucksore+N;PL
cullion	cullion+N;SG
synchronologies	synchronology+N;PL
bryotoxin	bryotoxin+N;SG
peptidyltransferase	peptidyltransferase+N;SG
timefulness	timefulness+N;SG
sarcode	sarcode+N;SG
haemangiomatous	haemangiomatous+ADJ
johnin	johnin+N;SG
substantiated	substantiate+V;V.PTCP;PST
borate	borate+N;SG
exilement	exilement+N;SG
onychomadesis	onychomadesis+N;SG
decremented	decrement+V;V.PTCP;PST
e-therapy	e-therapy+N;SG
trollist	trollist+N;SG
effusivities	effusivity+N;PL
nonadjusting	nonadjusting+ADJ
memsahibs	memsahib+N;PL
doddle	doddle+N;SG
recollimation	recollimation+N;SG
honyak	honyak+N;SG
subfans	subfan+N;PL
conchies	conchie+N;PL
prussophile	prussophile+ADJ
pyranoses	pyranose+N;PL
antiparachute	antiparachute+ADJ
badderlocks	badderlocks+N;SG
fortified	fortify+V;PST
magnetosheath	magnetosheath+N;SG
oxathiazinones	oxathiazinone+N;PL
birdikin	birdikin+N;SG
deuteriums	deuterium+N;PL
subaural	subaural+ADJ
campeador	campeador+N;SG
monsignorhood	monsignorhood+N;SG
discomposure	discomposure+N;SG
supersciences	superscience+N;PL
seaves	seave+N;PL
glutaminolysis	glutaminolysis+N;SG
unwigging	unwigging+N;SG
airplants	airplant+N;PL
preperformance	preperformance+ADJ
digynous	digynous+ADJ
roscón	roscón+N;SG
connectotype	connectotype+N;SG
riving	rive+V;V.PTCP;PRS
courtliest	courtly+ADJ;SPRL
mentulomaniacs	mentulomaniac+N;PL
mrca	mrca+N;SG
costotransverse	costotransverse+ADJ
prelatish	prelatish+ADJ
gabbagool	gabbagool+N;SG
sericitisation	sericitisation+N;SG
commandant	commandant+N;SG
lipochrome	lipochrome+N;SG
tagsets	tagset+N;PL
outcurse	outcurse+V;NFIN;IMP+SBJV
flextension	flextension+N;SG
comparate	comparate+N;SG
skylift	skylift+N;SG
gloam	gloam+N;SG
spivery	spivery+N;SG
wreckfish	wreckfish+N;SG
enlarged	enlarge+V;PST
clausifying	clausify+V;V.PTCP;PRS
tumourigenic	tumourigenic+ADJ
foolosopher	foolosopher+N;SG
paranœa	paranœa+N;SG
antihistoricism	antihistoricism+N;SG
diecious	diecious+ADJ
rumenic	rumenic+ADJ
zionite	zionite+N;SG
outpush	outpush+V;NFIN;IMP+SBJV
academist	academist+N;SG
rachiglossan	rachiglossan+N;SG
self-recrimination	self-recrimination+N;SG
deafest	deaf+ADJ;SPRL
coyote	coyote+V;NFIN;IMP+SBJV
extinctive	extinctive+ADJ
reeky	reeky+ADJ
oospheres	oosphere+N;PL
consternating	consternate+V;V.PTCP;PRS
porniest	porny+ADJ;SPRL
outbake	outbake+V;NFIN;IMP+SBJV
pyrosulfite	pyrosulfite+N;SG
præludes	prælude+N;PL
shabraques	shabraque+N;PL
citrullinates	citrullinate+V;PRS;3;SG
gentlemanliness	gentlemanliness+N;SG
ballonets	ballonet+N;PL
gutbombs	gutbomb+N;PL
sagaman	sagaman+N;SG
cerumenolytic	cerumenolytic+ADJ
unreducing	unreducing+ADJ
ecmo	ecmo+N;SG
isomerization	isomerization+N;SG
minoritized	minoritize+V;PST
samalizumab	samalizumab+N;SG
creatinine	creatinine+N;SG
indoprofen	indoprofen+N;SG
jailings	jailing+N;PL
aliterates	aliterate+N;PL
thirtytwomos	thirtytwomo+N;PL
gnotobiont	gnotobiont+N;SG
saurornitholestines	saurornitholestine+N;PL
set-down	set-down+N;SG
pozzuolana	pozzuolana+N;SG
protoxidizing	protoxidize+V;V.PTCP;PRS
transferribility	transferribility+N;SG
mesostatic	mesostatic+ADJ
tippex	tippex+V;NFIN;IMP+SBJV
patrimonial	patrimonial+ADJ
underprivilege	underprivilege+N;SG
deboshed	debosh+V;V.PTCP;PST
cobzas	cobza+N;PL
guised	guise+V;V.PTCP;PST
immelodious	immelodious+ADJ
encainide	encainide+N;SG
ossifrage	ossifrage+N;SG
colanguage	colanguage+N;SG
upraisings	upraising+N;PL
exercises	exercise+V;PRS;3;SG
centerpoint	centerpoint+N;SG
athenian	athenian+N;SG
fibrohexamerin	fibrohexamerin+N;SG
apituitarism	apituitarism+N;SG
coolrooms	coolroom+N;PL
masquing	masque+V;V.PTCP;PRS
traumatised	traumatise+V;V.PTCP;PST
navelbine	navelbine+N;SG
xanthophores	xanthophore+N;PL
postmidnight	postmidnight+ADJ
cosigner	cosigner+N;SG
noncurious	noncurious+ADJ
unslotted	unslotted+ADJ
fiberglassed	fiberglass+V;PST
underhanging	underhang+V;V.PTCP;PRS
panamanian	panamanian+N;SG
backfires	backfire+N;PL
astonies	astony+V;PRS;3;SG
playwriters	playwriter+N;PL
conveyancer	conveyancer+N;SG
supermajoritarian	supermajoritarian+ADJ
deminished	deminish+V;V.PTCP;PST
paramyxovirus	paramyxovirus+N;SG
hea	hea+ADJ
tackled	tackled+ADJ
outercourse	outercourse+N;SG
evodiamine	evodiamine+N;SG
demephitized	demephitize+V;V.PTCP;PST
so much	so much+ADJ
echelle	echelle+N;SG
mislabour	mislabour+V;NFIN;IMP+SBJV
leisured	leisured+ADJ
bedblocker	bedblocker+N;SG
chloroxylenol	chloroxylenol+N;SG
cotillions	cotillion+V;PRS;3;SG
nonlantibiotic	nonlantibiotic+N;SG
orpin	orpin+N;SG
underestimate	underestimate+V;NFIN;IMP+SBJV
suprarenal	suprarenal+N;SG
quar	quar+N;SG
thiosemicarbazones	thiosemicarbazone+N;PL
cyclooctyl	cyclooctyl+N;SG
aegyptosuchid	aegyptosuchid+N;SG
conservofascisms	conservofascism+N;PL
declarative	declarative+N;SG
ungracefulness	ungracefulness+N;SG
capsomer	capsomer+N;SG
brownifies	brownify+V;PRS;3;SG
snottygobble	snottygobble+N;SG
